index,Institute,InstituteCountry,ResearchInstitution,InstituteNumber
228,Competence Center Design & Management School of Art & Design Lucerne University of Applied Sciences and A,Switzerland,Lucerne University of Applied Sciences and Arts - HSLU,I229
229,"Dept of Environmental Science, Policy, & Management UC Berkeley",United States of America,Institution abroad - United States of America,I230
230,Département de Chimie Minérale et Analytique Université de Genève,Switzerland,University of Geneva - GE,I231
231,Swiss Federal Research Inst. WSL,Switzerland,"Swiss Federal Institute for Forest, Snow and Landscape Research  - WSL",I232
232,UNI: Universität Zürich Lab. für organische Chemie  Zürich CH,Switzerland,University of Zurich - ZH,I233
233,UNI: Concordia University   Montreal USA,Canada,Institution abroad - Canada,I234
234,Institut de mathématiques Université de Neuchâtel,Switzerland,University of Neuchatel - NE,I235
235,Section des Hautes Études Commerciales HEC-FSES Université de Genève,Switzerland,University of Geneva - GE,I236
236,Institute for Particle Physics IPP ETHZ,Switzerland,ETH Zurich - ETHZ,I237
237,Institut für Tierneurologie,Switzerland,University of Berne - BE,I238
238,UNI: London    GB,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I239
239,Max Planck Institute for Biology of Ageing Max Planck Society,Germany,Institution abroad - Germany,I240
240,Institut für Molekulare Biologie Universität Zürich,Switzerland,University of Zurich - ZH,I241
241,Institut für Ökologie und Evolution Universität Bern,Switzerland,,I242
242,EPFL / STI-ISE Institut des Sciences de l'Energie,Switzerland,EPF Lausanne - EPFL,I243
243,Ernst Basler + Partner AG,Switzerland,Companies/  Private Industry - FP,I244
244,Institut für angewandte Physik Universität Bern,Switzerland,University of Berne - BE,I245
245,Institut für Signal- und Informationsverarbeitung (ISI) ETH-Zentrum,Switzerland,ETH Zurich - ETHZ,I246
246,Serv. de dermatologie et vénéréologie Dépt. Neurosciences cliniques et dermatol. Hôpital Cantonal de Genève,Switzerland,University of Geneva - GE,I247
247,Institut für Energietechnik ETH Zürich,Switzerland,ETH Zurich - ETHZ,I248
248,Universitätsklinik für Infektiologie Inselspital,Switzerland,University of Berne - BE,I249
249,Institut für Theoretische Physik Universität Zürich,Switzerland,University of Zurich - ZH,I250
250,Chaire de physique numérique de la matière condensée EPFL - SB - ITP - CPNMC,Switzerland,EPF Lausanne - EPFL,I251
251,Seminar für Sprachwissenschaft Universität Tübingen Deutsches Seminar,Germany,Institution abroad - Germany,I252
252,Laboratoire expérimental de mécanique des roches EPFL - ENAC - IIC - LEMR,Switzerland,EPF Lausanne - EPFL,I253
253,Département des neurosciences fondamentales Faculté de Biologie et de Médecine Université de Lausanne,Switzerland,University of Lausanne - LA,I254
254,University of Cambridge Dept. of Pharmacology,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I255
255,Institut für Feldtheorie und Höchstfrequenztechnik ETH Zürich,Switzerland,ETH Zurich - ETHZ,I256
256,UNI: Southern Denmark University   Odense DK,Denmark,Institution abroad - Denmark,I257
257,GRAFE Section des sciences de l'éducation Université de Genève,Switzerland,University of Geneva - GE,I258
258,Wüest & Partner Rauminformation,Switzerland,Companies/  Private Industry - FP,I259
259,School of Management and Law ZHAW,Switzerland,Zurich University of Applied Sciences - ZHAW,I260
260,Département Médico-chirurgical de Pédiatrie CHUV,Switzerland,University of Lausanne - LA,I261
261,Laboratorium für Nichtlineare Optik Institut für Quantenelektronik ETH-Hönggerberg,Switzerland,ETH Zurich - ETHZ,I262
262,Institut de chimie Université de Neuchâtel,Switzerland,University of Neuchatel - NE,I263
263,Institut de mathématiques EPFL - SB - MATH,Switzerland,,I264
264,Institut für Virologie und Immunologie Vetsuisse-Fakultät Universität Bern,Switzerland,University of Berne - BE,I265
265,"Institute of Public Health Faculty of Communication, Culture and Societ Università della Svizzera italiana",Switzerland,Università della Svizzera italiana - USI,I266
266,UNI: UC Santa Cruz Science Communication  Sa nta Cruz USA,United States of America,Institution abroad - United States of America,I267
267,Universitätsklinik für Neurochirurgie Inselspital Bern,Switzerland,University of Berne - BE,I268
268,Faculté des lettres et sciences humaines Université de Neuchâtel,Switzerland,University of Neuchatel - NE,I269
269,Molecular Surgery Laboratory Department of Surgery Harvard Medical School,,Institution abroad,I270
270,Centre Integratif de Genomique Faculté de Biologie et Médecine Université de Lausanne,Switzerland,University of Lausanne - LA,I271
271,Departement Physik Universität Basel,Switzerland,University of Basel - BS,I272
272,EPFL - SB - MATHAA,Switzerland,EPF Lausanne - EPFL,I273
273,Lab of Molecular and Cellular Neuroscience Dept. Developmental Biology and Neuroscience Tohoku University,Japan,Institution abroad - Japan,I274
274,École française d'Athènes,Greece,Institution abroad - Greece,I275
275,CSCS - Centro Svizzero di Calcolo Scientifico ETH Zürich,Switzerland,EPF Lausanne - EPFL,I276
276,University of Liverpool Dept. of Environmental and Evolutionary Biology,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I277
