GrantNumber,DisciplineNumber
G66052,D10105
G198833,D30102
G109984,D10303
G186569,D10404
G186569,D10407
G153808,D10201
G153808,D10203
G184669,D30102
G57434,D30102
G57434,D30104
G206488,D20409
G153616,D10105
G43555,D20100
G116317,D20200
G39660,D20503
G34097,D30105
G27426,D10502
G67839,D20100
G3813,D20404
G63836,D10101
G3881,D20402
G3881,D20403
G39197,D20705
G25555,D20304
G53706,D30302
G115105,D20301
G115105,D20304
G115105,D30108
G122572,D30402
G122572,D30708
G122572,D30720
G156907,D30101
G156907,D30102
G156907,D30707
G156907,D30807
G32449,D10201
G32449,D10405
G812,D10405
G9360,D30703
G127566,D30102
G127566,D30401
G107910,D20709
G53588,D10103
G118724,D10501
G38330,D20200
G38820,D30703
G53799,D30705
G133949,D20100
G57494,D20303
G4338,D20405
G116627,D30101
G155770,D10203
G118400,D30712
G118400,D30911
G114330,D20506
G138485,D30305
G138485,D30306
G138485,D30402
G138485,D30710
G5303,D20303
G111592,D30302
G190579,D30108
G190579,D30303
G190579,D30714
G207080,D10104
G205638,D30103
G131081,D30101
G131081,D30102
G58277,D20700
G103863,D20100
G160083,D20503
G160083,D20705
G109413,D30304
G109413,D30403
G109413,D30807
G185069,D20200
G185069,D20504
G51571,D20301
G1468,D10204
G174703,D30104
G130761,D10203
G130761,D10204
G100750,D30402
G154034,D10203
G154034,D20301
G154034,D20304
G154034,D20511
G6700,D30302
G103646,D20809
G101576,D10402
G20631,D10301
G104617,D30305
G5122,D20403
G8917,D30716
G154360,D10104
G119885,D30708
G119885,D30718
G119885,D30809
G59863,D10204
G64221,D30102
G104778,D30702
G26134,D30102
G6825,D30701
G195110,D20505
G36616,D20505
G139827,D10101
G139827,D10201
G139827,D10206
G139827,D10403
G10592,D20508
G30424,D10203
G104174,D30401
G116204,D20303
G133277,D10501
G4493,D20804
G7564,D30101
G40786,D30705
G48689,D20506
G118708,D10104
G44620,D30201
G116958,D10404
G116958,D10501
G5815,D30704
G26496,D10102
G206153,D20805
G28609,D30205
G187000,D30302
G64671,D20401
G43250,D20404
G155078,D10201
G155078,D10202
G155078,D10206
G111216,D30104
G111216,D30202
G111216,D30207
G44523,D30302
G44523,D30708
G28877,D20304
G69370,D10201
G129917,D20301
G129917,D20304
G175035,D10101
G182273,D20511
G182273,D30107
G208136,D30401
G208136,D30403
G153396,D30709
G111994,D30401
G114800,D20200
G114800,D20403
G1994,D10301
G46649,D30102
G119847,D20506
G158617,D10202
G100768,D10205
G132931,D10102
G132931,D10502
G52374,D20100
G104144,D30101
G56392,D20404
G111949,D30809
G169913,D20301
G169913,D20503
G204024,D30207
G146638,D30401
G146638,D30403
G146638,D30703
G204670,D10204
G160798,D30101
G160798,D30102
G160798,D30103
G160798,D30104
G127166,D20506
G146326,D10105
G146326,D30104
G146326,D30302
G146326,D30708
G146326,D30803
G202292,D20506
G202292,D30102
G105474,D20403
G164704,D10205
G164704,D10403
G110338,D10503
G173720,D20301
G173720,D20304
G173720,D20409
G173720,D50000
G168934,D10201
G168934,D10202
G168934,D10203
G168934,D10206
G55573,D20805
G165566,D20504
G165566,D20511
G108806,D10201
G108806,D30812
G108806,D30911
G202942,D10105
G203382,D30809
G27645,D30101
G102,D10105
G126544,D10104
G126544,D10201
G27630,D20701
G4442,D20403
G139518,D10201
G139518,D10203
G200874,D20100
G200874,D20401
G4494,D20100
G45651,D20505
G119271,D10202
G119271,D10301
G100679,D30302
G151748,D10404
G151748,D10503
G202957,D10206
G202957,D20809
G142171,D20709
G185366,D20409
G185366,D30703
G10063,D20511
G142682,D10404
G189857,D20301
G189857,D20304
G9196,D30207
G161852,D20100
G57516,D20301
G110966,D10301
G110966,D10302
G207903,D20805
G207903,D30203
G53414,D20303
G100039,D10302
G161145,D30401
G161145,D30402
G142318,D10301
G155694,D30716
G127746,D10202
G49932,D10101
G116740,D20100
G56750,D30710
G101762,D10501
G5803,D30403
G160264,D30101
G160264,D30102
G160264,D30103
G160264,D30107
G25194,D30107
G159256,D20200
G134973,D30720
G32652,D20508
G33226,D20504
G29805,D20801
G137548,D20100
G63564,D10104
G153327,D10301
G153327,D10302
G153327,D20704
G153327,D20705
G427,D10205
G191406,D10102
G25717,D30401
G25717,D30403
G3942,D20301
G148641,D20304
G25774,D10203
G185211,D30303
G185211,D30305
G172094,D10206
G172094,D10407
G131957,D20304
G139145,D20301
G201726,D30101
G41955,D30702
G113700,D20506
G15199,D10301
G131347,D10405
G45751,D30104
G45751,D30302
G41924,D20303
G153057,D20301
G20475,D20501
G167683,D20301
G167683,D20505
G167683,D20507
G65731,D20401
G117989,D10105
G179423,D30302
G39342,D30307
G105164,D20506
G162604,D30207
G116386,D20505
G209537,D30202
G209537,D30207
G57083,D30402
G200665,D10201
G200665,D10601
G100701,D30302
G100701,D30708
G180225,D20303
G144519,D20404
G181731,D10301
G181731,D10302
G139991,D20301
G139991,D20403
G139991,D20404
G139991,D20505
G139991,D20507
G205576,D10206
G36862,D10407
G177208,D20100
G177208,D30108
G177208,D30401
G177208,D30403
G177208,D50000
G15266,D10302
G145096,D10203
G145096,D30904
G28038,D30401
G45979,D30102
G45979,D30402
G183691,D10301
G183691,D10404
G25249,D20401
G119639,D10101
G121110,D10301
G121110,D10502
G116829,D10201
G107752,D30403
G52872,D10205
G114401,D30707
G114401,D30721
G114401,D30806
G30211,D30705
G28744,D30403
G28744,D30703
G142796,D10201
G122830,D10104
G182242,D10203
G167008,D10101
G167008,D10102
G167008,D10103
G167008,D10104
G167008,D10105
G167008,D10201
G167008,D10202
G167008,D10203
G167008,D10206
G167008,D10207
G167008,D10301
G167008,D10302
G167008,D10303
G167008,D10403
G167008,D10404
G143894,D20801
G174889,D10102
G134460,D30102
G134460,D30103
G134460,D30302
G134460,D30401
G204708,D10105
G116438,D10502
G142917,D20304
G142917,D30401
G53792,D10501
G121122,D10207
G138800,D30102
G138800,D30107
G138800,D30205
G138800,D30206
G206735,D20501
G206735,D20705
G198889,D20409
G206604,D30305
G28031,D30302
G45434,D20508
G40841,D30207
G6030,D30401
G182948,D30103
G182948,D30303
G205524,D30302
G205524,D30305
G143516,D20100
G129034,D10101
G129034,D10502
G176104,D30306
G176104,D30403
G3445,D20304
G107042,D20503
G151538,D10203
G191918,D30105
G63989,D20709
G178724,D10203
G185662,D10202
G185662,D10203
G185662,D10205
G185662,D10601
G206,D10102
G135408,D10203
G120924,D20404
G120924,D20503
G5146,D20303
G106302,D10501
G149211,D20403
G57244,D30911
G115560,D20303
G177987,D20401
G177987,D20409
G178791,D20303
G178791,D20505
G156669,D20100
G156669,D20506
G126864,D20403
G49474,D10302
G147510,D10501
G139859,D10202
G67685,D20404
G150752,D30202
G150752,D30207
G115235,D10303
G162149,D20504
G162149,D20507
G162149,D30101
G162149,D30108
G8850,D30104
G2411,D10405
G2411,D10502
G139685,D20803
G50702,D10206
G122077,D20100
G2349,D10204
G206794,D20303
G6899,D30101
G108619,D10602
G137400,D20200
G137400,D20801
G32174,D20304
G175255,D20704
G175255,D20709
G158975,D10105
G118752,D20511
G118752,D20705
G5729,D30306
G161557,D20301
G161557,D20303
G161557,D20304
G161557,D20505
G191119,D20501
